titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
My Chauffeur,Balduin Stummeyer,2001,91,Product Management,30,MA,Temara
Passion,Juana Rafe,2000,54,Product Management,94,CN,Tianqian
Broken Blossoms or The Yellow Man and the Girl,Catha Attaway,2006,15,Support,17,RU,Izhmorskiy
But I'm a Cheerleader,Cirilo Drinnan,2001,98,Sales,70,ID,Pucangkrajan
Pure One (Pakeezah),Hayden Murkus,1999,61,Training,1,SI,Turnišče
2LDK,Natassia Harrad,1997,75,Business Development,87,CA,Parrsboro
Black Orpheus (Orfeu Negro),Gabbie Nizard,1992,9,Human Resources,77,CN,Zhongzuiling
Still Waiting...,Sophia Ordish,2006,6,Marketing,90,RU,Sol’tsy
Heckler,Julius Shera,2009,91,Services,7,PH,Libon
Savage Grace,Joly Condict,2011,8,Sales,32,CN,Jiehu
Major League,Juditha Jepperson,1995,5,Research and Development,43,PH,Tanudan
Resident Evil: Afterlife,Scotti Lippiett,2007,96,Training,77,BR,Abreu e Lima
Patton,Nan Sickamore,2001,33,Sales,99,PT,Altares
Incident at Blood Pass (Machibuse) (Ambush),Phineas Raper,2009,97,Marketing,5,ID,Karangnongko
"Frankenstein Syndrome, The",Trever Sidebotton,2001,15,Training,85,CN,Yushan
Synth Britannia,Emmi Ashcroft,2009,25,Product Management,79,PK,Tānk
